City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
comodoro rivadavia,0.0,AR,1553054400.0,53.0,-45.87,-67.48,51.8,2.24
pisco,0.0,PE,1553054400.0,77.0,-13.71,-76.2,69.8,10.29
chuy,80.0,UY,1553058332.0,84.0,-33.69,-53.46,64.07,13.47
rawson,0.0,AR,1553058332.0,81.0,-43.3,-65.11,44.9,7.76
antofagasta,0.0,CL,1553054400.0,82.0,-23.65,-70.4,62.6,1.12
valdivia,0.0,CL,1553054400.0,86.0,-39.81,-73.25,39.2,2.24
vaitupu,,,,,,,,
san patricio,12.0,PY,1553058333.0,91.0,-26.98,-56.83,68.57,4.18
pedro juan caballero,56.0,PY,1553058334.0,94.0,-22.55,-55.74,70.64,2.73
chicama,20.0,PE,1553054400.0,83.0,-7.84,-79.15,69.8,5.82
assai,,,,,,,,
tevaitoa,24.0,PF,1553058335.0,100.0,-16.78,-151.5,83.78,10.22
taltal,0.0,CL,1553058335.0,94.0,-25.41,-70.49,52.64,2.17
salinas,1.0,US,1553058316.0,71.0,36.67,-121.66,57.2,4.7
caravelas,88.0,BR,1553058336.0,100.0,-17.73,-39.27,79.37,13.24
iguape,88.0,BR,1553058336.0,100.0,-24.7,-47.56,75.23,0.6
agua branca,64.0,BR,1553058336.0,97.0,-5.89,-42.63,70.91,3.74
san luis,0.0,AR,1553058337.0,45.0,-33.3,-66.34,42.47,3.06
chilca,75.0,PE,1553054400.0,62.0,-13.22,-72.34,53.6,5.82
montecristi,75.0,EC,1553054400.0,83.0,-1.05,-80.66,80.6,9.17
gilbues,44.0,BR,1553058341.0,95.0,-9.83,-45.34,70.64,2.62
tabou,12.0,CI,1553058342.0,98.0,4.42,-7.36,83.06,5.75
teofilo otoni,24.0,BR,1553058342.0,95.0,-17.86,-41.51,70.37,3.62
illapel,0.0,CL,1553058342.0,95.0,-31.63,-71.17,50.66,2.95
uyuni,0.0,BO,1553058343.0,39.0,-20.46,-66.82,25.55,1.95
necochea,56.0,AR,1553058028.0,89.0,-38.55,-58.74,51.01,4.0
santarem,,,,,,,,
santa vitoria,48.0,BR,1553058344.0,95.0,-7.82,-67.03,76.31,2.17
moerai,44.0,PF,1553058344.0,99.0,-22.43,-151.33,80.0,23.87
la rioja,92.0,AR,1553058219.0,95.0,-29.41,-66.86,58.4,7.2
laguna,44.0,MX,1553058344.0,64.0,27.52,-110.01,61.82,0.38
fuerte olimpo,24.0,BR,1553058345.0,91.0,-21.04,-57.87,75.77,2.95
satitoa,,,,,,,,
margate,40.0,AU,1553058316.0,64.0,-43.03,147.26,73.0,11.41
antalaha,20.0,MG,1553058345.0,88.0,-14.9,50.28,83.06,6.2
carnarvon,20.0,ZA,1553058346.0,71.0,-30.97,22.13,57.5,8.66
praya,40.0,ID,1553056200.0,66.0,-8.71,116.27,87.8,18.34
karratha,12.0,AU,1553058241.0,24.0,-20.74,116.85,103.49,9.44
poya,32.0,NC,1553058347.0,93.0,-21.35,165.16,80.54,8.55
bambous virieux,40.0,MU,1553058243.0,74.0,-20.34,57.76,84.2,13.87
east london,40.0,ZA,1553054400.0,100.0,-33.02,27.91,66.2,4.7
port elizabeth,1.0,US,1553058335.0,92.0,39.31,-74.98,39.99,7.54
new norfolk,40.0,AU,1553058316.0,64.0,-42.78,147.06,73.0,11.41
albany,75.0,US,1553058267.0,58.0,42.65,-73.75,30.2,2.17
tsihombe,,,,,,,,
lata,48.0,IN,1553058349.0,82.0,30.78,78.62,48.77,1.05
kruisfontein,36.0,ZA,1553058349.0,98.0,-34.0,24.73,67.94,13.13
bredasdorp,80.0,ZA,1553058135.0,88.0,-34.53,20.04,62.6,5.82
roebourne,12.0,AU,1553058350.0,24.0,-20.77,117.15,103.49,9.44
bethanien,0.0,NA,1553058351.0,44.0,-26.5,17.16,58.31,3.18
taolanaro,,,,,,,,
hobart,40.0,AU,1553058316.0,64.0,-42.88,147.33,73.0,11.41
richards bay,0.0,ZA,1553058351.0,84.0,-28.77,32.06,76.94,6.42
grand river south east,,,,,,,,
bengkulu,,,,,,,,
amparafaravola,20.0,MG,1553058353.0,100.0,-17.68,48.22,72.53,3.96
busselton,0.0,AU,1553058313.0,24.0,-33.64,115.35,91.99,16.26
maun,0.0,BW,1553054400.0,49.0,-19.99,23.42,71.6,6.93
mathathane,0.0,BW,1553058353.0,72.0,-22.27,28.75,74.96,4.74
kaitangata,12.0,NZ,1553058354.0,72.0,-46.28,169.85,62.45,6.98
bluff,0.0,AU,1553058354.0,50.0,-23.58,149.07,91.07,4.97
wyndham,90.0,GB,1553058318.0,100.0,51.61,-3.54,50.0,6.93
port alfred,80.0,ZA,1553058182.0,89.0,-33.59,26.89,69.01,7.0
toliary,,,,,,,,
port lincoln,0.0,AU,1553058355.0,82.0,-34.72,135.86,69.74,11.45
kigoma,64.0,TZ,1553058356.0,100.0,-4.88,29.64,77.21,1.72
saint-philippe,1.0,CA,1553058325.0,73.0,45.36,-73.48,27.0,4.7
kempsey,76.0,AU,1553058305.0,70.0,-31.08,152.84,82.99,3.0
yulara,0.0,AU,1553054400.0,11.0,-25.24,130.99,98.6,14.99
hithadhoo,64.0,MV,1553058357.0,100.0,-0.6,73.08,84.23,2.39
mogadishu,24.0,SO,1553058357.0,98.0,2.04,45.34,81.98,19.17
port augusta,8.0,AU,1553058275.0,69.0,-32.49,137.76,91.99,12.75
vao,32.0,EE,1553058379.0,91.0,59.1,26.19,30.14,9.44
lolua,,,,,,,,
inhambane,75.0,MZ,1553054400.0,94.0,-23.87,35.38,77.0,6.53
flinders,75.0,AU,1553058361.0,65.0,-34.58,150.85,77.0,12.75
alyangula,40.0,AU,1553054400.0,63.0,-13.85,136.42,93.2,8.05
ballina,92.0,IE,1553058183.0,95.0,54.11,-9.15,51.01,4.0
launceston,75.0,AU,1553058343.0,41.0,-41.43,147.14,81.0,5.82
ahipara,32.0,NZ,1553058381.0,67.0,-35.17,173.16,73.07,8.55
victoria,75.0,BN,1553056200.0,94.0,5.28,115.24,84.2,7.76
westport,92.0,IE,1553058183.0,93.0,53.8,-9.52,51.01,9.78
vila,0.0,IT,1553058366.0,86.0,45.18,8.4,44.01,6.93
kasongo-lunda,88.0,CD,1553058383.0,96.0,-6.48,16.82,69.2,3.06
omboue,48.0,GA,1553058383.0,100.0,-1.57,9.26,83.42,4.74
nelson bay,75.0,AU,1553058070.0,65.0,-32.72,152.14,78.8,16.11
devonport,64.0,AU,1553058297.0,76.0,-41.18,146.36,75.0,8.01
chiredzi,68.0,ZW,1553054400.0,100.0,-21.05,31.67,66.2,1.39
nabire,80.0,ID,1553058384.0,75.0,-3.36,135.5,78.74,1.39
huambo,48.0,AO,1553058385.0,93.0,-12.78,15.73,58.04,1.39
mwinilunga,12.0,ZM,1553058388.0,95.0,-11.73,24.43,67.13,2.95
buala,92.0,SB,1553058388.0,100.0,-8.15,159.59,80.18,1.61
roma,0.0,IT,1553058336.0,75.0,41.89,12.48,46.99,9.17
gizo,75.0,IL,1553058245.0,87.0,31.8,34.94,64.99,6.93
souillac,0.0,FR,1553058368.0,86.0,45.6,-0.6,39.0,5.41
jabiru,,,,,,,,
ikongo,0.0,MG,1553058390.0,81.0,-21.88,47.44,75.5,3.74
ngukurr,,,,,,,,
daru,92.0,SL,1553058390.0,91.0,7.99,-10.85,75.59,3.18
namibe,8.0,AO,1553058391.0,100.0,-15.19,12.15,74.96,6.53
hambantota,40.0,LK,1553055000.0,74.0,6.12,81.12,86.0,9.17
wewak,64.0,PG,1553058391.0,83.0,-3.55,143.63,82.79,4.52
mendi,64.0,ET,1553058391.0,23.0,9.8,35.1,77.39,3.51
saint-joseph,0.0,FR,1553058360.0,54.0,43.56,6.97,46.0,5.82
luderitz,0.0,NA,1553058392.0,88.0,-26.65,15.16,58.49,12.12
mahebourg,40.0,MU,1553058243.0,74.0,-20.41,57.7,84.2,13.87
griffith,0.0,AU,1553055618.0,22.0,-34.29,146.06,91.99,11.41
esperance,20.0,TT,1553058307.0,88.0,10.24,-61.45,75.2,4.7
ilebo,88.0,CD,1553058394.0,97.0,-4.33,20.59,71.18,3.4
soyo,92.0,AO,1553058394.0,89.0,-6.13,12.37,80.0,2.17
emerald,0.0,AU,1553058062.0,36.0,-23.53,148.16,95.0,3.36
lorengau,44.0,PG,1553058395.0,100.0,-2.02,147.27,82.52,9.78
gamba,0.0,CN,1553058398.0,93.0,28.28,88.52,22.22,4.18
christchurch,0.0,NZ,1553058320.0,72.0,-43.53,172.64,66.2,10.29
sorong,12.0,ID,1553058399.0,99.0,-0.86,131.25,83.6,6.08
tuatapere,68.0,NZ,1553058007.0,85.0,-46.13,167.69,61.0,4.0
palabuhanratu,,,,,,,,
quatre cocos,40.0,MU,1553058243.0,74.0,-20.21,57.76,84.2,13.87
port hedland,20.0,AU,1553056200.0,39.0,-20.31,118.58,100.4,16.11
gold coast,40.0,AU,1553058300.0,65.0,-28.0,153.41,90.0,12.75
hervey bay,44.0,AU,1553058309.0,62.0,-25.3,152.85,86.0,13.87
kiunga,24.0,PG,1553058401.0,42.0,-6.12,141.3,95.75,4.74
keetmanshoop,0.0,NA,1553054400.0,32.0,-26.57,18.15,66.2,5.82
te anau,80.0,NZ,1553058289.0,70.0,-45.41,167.72,66.86,2.51
ambilobe,20.0,MG,1553058402.0,99.0,-13.19,49.05,80.0,4.52
kalomo,,,,,,,,
kibala,0.0,TD,1553054400.0,43.0,9.11,18.35,69.8,3.74
dunedin,0.0,NZ,1553057973.0,91.0,-45.87,170.5,57.99,4.0
bowen,40.0,AU,1553058322.0,70.0,-20.01,148.25,88.0,12.75
gairo,0.0,TZ,1553058403.0,76.0,-6.14,36.87,71.0,4.18
rundu,20.0,NA,1553058403.0,67.0,-17.91,19.77,70.46,4.18
cuamba,92.0,MZ,1553058404.0,100.0,-14.8,36.54,68.12,3.62
mount isa,40.0,AU,1553056200.0,26.0,-20.73,139.49,96.8,10.29
scottsburgh,,,,,,,,
ruatoria,,,,,,,,
cap malheureux,40.0,MU,1553058243.0,74.0,-19.98,57.61,84.2,13.87
meulaboh,0.0,ID,1553058405.0,100.0,4.14,96.13,85.49,4.07
sambava,56.0,MG,1553058405.0,100.0,-14.27,50.17,82.7,10.22
kaeo,0.0,NZ,1553058187.0,69.0,-35.1,173.78,70.0,8.99
khorixas,8.0,NA,1553058406.0,55.0,-20.37,14.96,64.34,3.51
thinadhoo,88.0,MV,1553058406.0,100.0,0.53,72.93,84.95,7.09
mahanoro,20.0,MG,1553058406.0,74.0,-19.9,48.8,82.25,0.94
amuntai,20.0,ID,1553058407.0,58.0,-2.42,115.25,92.6,2.95
tual,8.0,ID,1553058407.0,100.0,-5.67,132.75,85.04,10.78
labuhan,24.0,ID,1553058408.0,69.0,-2.54,115.51,87.92,2.95
kerema,76.0,PG,1553058408.0,92.0,-7.96,145.78,78.29,1.5
asau,,,,,,,,
portland,40.0,US,1553057836.0,38.0,45.52,-122.67,62.01,13.87
boyolangu,24.0,ID,1553058408.0,87.0,-8.09,111.9,82.79,4.07
broken hill,0.0,AU,1553054400.0,14.0,-31.97,141.45,95.0,9.17
micheweni,88.0,TZ,1553058409.0,100.0,-4.97,39.83,81.17,9.1
warrnambool,88.0,AU,1553058129.0,83.0,-38.38,142.48,72.0,12.46
umzimvubu,,,,,,,,
koungou,,,,,,,,
torrington,1.0,US,1553058311.0,80.0,42.06,-104.18,30.2,3.36
dingle,20.0,PH,1553058411.0,48.0,11.0,122.67,89.63,15.03
bouna,36.0,CI,1553058412.0,89.0,9.27,-3.0,72.62,10.78
kapaa,40.0,US,1553058208.0,60.0,22.08,-159.32,75.2,6.93
tasiilaq,0.0,GL,1553053800.0,70.0,65.61,-37.64,1.4,19.46
illoqqortoormiut,,,,,,,,
fort nelson,20.0,CA,1553054400.0,59.0,58.81,-122.69,37.4,3.36
barentsburg,,,,,,,,
ponta do sol,8.0,BR,1553058419.0,88.0,-20.63,-46.0,67.58,2.73
hilo,90.0,US,1553058274.0,60.0,19.71,-155.08,73.4,9.66
torbay,75.0,CA,1553058299.0,73.0,47.66,-52.73,23.0,12.75
provideniya,0.0,RU,1553056200.0,71.0,64.42,-173.23,5.0,14.58
yellowknife,75.0,CA,1553058170.0,69.0,62.45,-114.38,35.6,9.17
bucerias,40.0,MX,1553058306.0,83.0,20.76,-105.33,73.99,2.39
miami,90.0,US,1553058219.0,93.0,25.77,-80.19,68.0,11.41
mayo,75.0,CA,1553054400.0,75.0,63.59,-135.9,42.8,5.82
sao filipe,88.0,CV,1553058422.0,97.0,14.9,-24.5,70.82,11.79
acapulco,5.0,MX,1553053620.0,78.0,16.86,-99.88,80.6,8.05
halifax,5.0,CA,1553058249.0,53.0,44.65,-63.58,23.0,8.05
port hawkesbury,1.0,CA,1553058355.0,92.0,45.62,-61.36,21.0,2.73
lagoa,0.0,PT,1553058210.0,50.0,37.14,-8.45,57.99,8.05
san quintin,0.0,PH,1553058423.0,47.0,17.54,120.52,88.82,3.06
saint george,20.0,GR,1553058201.0,100.0,39.45,22.34,52.0,2.51
norman wells,75.0,CA,1553054400.0,52.0,65.28,-126.83,41.0,2.24
maniitsoq,12.0,GL,1553058424.0,100.0,65.42,-52.9,-8.21,9.78
inirida,64.0,CO,1553058425.0,96.0,3.87,-67.92,72.62,2.06
mys shmidta,,,,,,,,
taoudenni,24.0,ML,1553058426.0,22.0,22.68,-3.98,53.72,7.09
fortuna,0.0,ES,1553058351.0,62.0,38.18,-1.13,51.8,12.75
san cristobal,75.0,EC,1553058120.0,93.0,-0.39,-78.55,55.4,2.24
saint-augustin,0.0,FR,1553058368.0,93.0,44.83,-0.61,39.0,4.74
truth or consequences,1.0,US,1553058071.0,19.0,33.13,-107.25,57.2,10.29
tuktoyaktuk,90.0,CA,1553054400.0,85.0,69.44,-133.03,17.6,21.92
elko,1.0,US,1553058206.0,39.0,40.83,-115.76,46.4,8.05
qaanaaq,0.0,GL,1553058384.0,62.0,77.48,-69.36,-35.12,7.99
la ronge,5.0,CA,1553054400.0,69.0,55.1,-105.3,37.4,2.24
ribeira grande,92.0,PT,1553058432.0,99.0,38.52,-28.7,59.39,11.79
praia da vitoria,75.0,PT,1553058089.0,93.0,38.73,-27.07,55.4,10.67
kahului,40.0,US,1553058227.0,50.0,20.89,-156.47,78.8,5.82
clyde river,1.0,CA,1553055780.0,75.0,70.47,-68.59,-20.21,25.28
planeta rica,40.0,CO,1553054400.0,78.0,8.41,-75.58,80.6,12.8
sioux lookout,90.0,CA,1553055420.0,93.0,50.1,-91.92,35.6,5.82
kodiak,90.0,US,1553058217.0,60.0,39.95,-94.76,43.0,5.82
klaksvik,48.0,FO,1553055600.0,80.0,62.23,-6.59,39.2,21.92
thompson,90.0,CA,1553057160.0,86.0,55.74,-97.86,33.8,3.36
cockburn town,8.0,TC,1553058438.0,97.0,21.46,-71.14,78.2,15.14
celestun,64.0,MX,1553058438.0,100.0,20.87,-90.4,74.78,19.62
bonthe,36.0,SL,1553058439.0,96.0,7.53,-12.5,77.75,2.95
narsaq,48.0,GL,1553053800.0,42.0,60.91,-46.05,6.8,8.05
havre-saint-pierre,20.0,CA,1553054400.0,77.0,50.23,-63.6,6.8,7.43
pangnirtung,5.0,CA,1553054400.0,60.0,66.15,-65.72,-27.41,3.36
nanortalik,80.0,GL,1553058439.0,100.0,60.14,-45.24,27.17,27.78
consolacion del sur,100.0,CU,1553058440.0,100.0,22.5,-83.51,68.66,8.66
barrow,44.0,AR,1553058440.0,91.0,-38.31,-60.23,51.02,8.43
marysville,1.0,CA,1553058425.0,69.0,42.91,-82.49,37.99,3.36
attawapiskat,,,,,,,,
higuey,,,,,,,,
college,1.0,US,1553058138.0,67.0,64.86,-147.8,26.6,5.82
adra,0.0,IN,1553058441.0,27.0,23.5,86.68,91.97,7.09
louisbourg,,,,,,,,
hinckley,75.0,GB,1553058441.0,93.0,52.54,-1.37,48.99,5.82
pochutla,8.0,MX,1553057164.0,79.0,15.74,-96.47,78.01,6.64
cayenne,90.0,GF,1553056200.0,88.0,4.94,-52.33,78.8,9.17
flagstaff,1.0,US,1553058161.0,80.0,35.2,-111.65,55.99,3.36
lazaro cardenas,40.0,MX,1553058306.0,45.0,28.39,-105.62,64.0,5.08
corn island,0.0,NI,1553058444.0,98.0,12.17,-83.04,80.63,11.12
guerrero negro,0.0,MX,1553058444.0,100.0,27.97,-114.04,51.74,8.55
mantua,0.0,IT,1553058423.0,74.0,45.16,10.79,46.99,8.05
riviere-au-renard,20.0,CA,1553054400.0,84.0,49.0,-64.4,8.6,4.7
goderich,0.0,CA,1553058087.0,88.0,43.74,-81.71,34.0,1.01
trairi,80.0,BR,1553058445.0,100.0,-3.28,-39.27,80.27,5.41
edgemoor,1.0,US,1553058394.0,70.0,48.71,-122.51,57.2,3.06
nome,1.0,US,1553058444.0,81.0,30.04,-94.42,54.0,6.08
itarema,92.0,BR,1553058446.0,98.0,-2.92,-39.92,74.96,2.73
codrington,40.0,AU,1553058317.0,61.0,-28.95,153.24,86.0,11.41
hermosillo,20.0,MX,1553058251.0,20.0,29.09,-110.96,73.99,2.62
carutapera,76.0,BR,1553058447.0,100.0,-1.2,-46.02,76.67,4.74
wa,,,,,,,,
tiznit,0.0,MA,1553058447.0,94.0,29.7,-9.73,53.09,2.39
manteca,90.0,US,1553058378.0,54.0,37.8,-121.21,60.8,32.21
amarillo,90.0,US,1553057722.0,76.0,35.21,-101.83,48.2,11.41
haines junction,8.0,CA,1553058278.0,73.0,60.75,-137.51,24.47,2.17
bolungarvik,,,,,,,,
vestmanna,76.0,FO,1553055600.0,80.0,62.16,-7.17,39.2,21.92
fairbanks,1.0,US,1553058395.0,67.0,64.84,-147.72,24.01,5.82
talavera de la reina,0.0,ES,1553058449.0,88.0,39.96,-4.83,26.0,3.4
lander,1.0,US,1553058087.0,43.0,42.83,-108.73,35.6,6.93
poquoson,1.0,US,1553058130.0,60.0,37.12,-76.35,45.0,10.29
matagami,8.0,NG,1553058450.0,68.0,9.67,8.4,62.36,3.74
tramore,20.0,IE,1553058182.0,98.0,52.16,-7.15,42.01,4.18
ponta delgada,75.0,PT,1553058424.0,87.0,37.73,-25.67,55.0,5.82
ocos,40.0,GT,1553053380.0,78.0,14.51,-92.19,78.8,5.64
lebanon,1.0,US,1553058437.0,62.0,43.64,-72.25,25.0,2.06
tecoanapa,5.0,MX,1553053620.0,78.0,16.99,-99.26,80.6,8.05
vestmannaeyjar,88.0,IS,1553058369.0,97.0,63.44,-20.27,37.16,23.2
olafsvik,,,,,,,,
road town,1.0,VG,1553058432.0,73.0,18.42,-64.62,77.0,12.75
weston,1.0,US,1553058453.0,84.0,41.2,-73.38,35.01,1.72
provost,0.0,CA,1553058454.0,63.0,52.35,-110.26,29.51,2.73
pout,,,,,,,,
sitka,92.0,US,1553058026.0,75.0,37.17,-99.65,41.0,8.01
preston,90.0,GB,1553058425.0,93.0,53.76,-2.71,48.2,2.24
nuuk,56.0,GL,1553053800.0,84.0,64.17,-51.74,3.2,16.11
tutoia,48.0,BR,1553058455.0,90.0,-2.76,-42.27,78.2,5.41
hamilton,90.0,BM,1553058323.0,88.0,32.3,-64.78,62.6,20.8
harbour breton,76.0,CA,1553057825.0,100.0,47.48,-55.8,25.0,15.03
juneau,20.0,US,1553054160.0,75.0,58.3,-134.42,42.8,3.74
vila franca do campo,75.0,PT,1553058424.0,87.0,37.72,-25.43,55.0,5.82
saint anthony,1.0,US,1553058348.0,64.0,43.97,-111.68,35.6,2.51
the valley,20.0,AI,1553058067.0,73.0,18.22,-63.06,77.0,11.41
paamiut,68.0,GL,1553058462.0,100.0,61.99,-49.67,21.77,16.6
ojinaga,1.0,US,1553058069.0,60.0,29.56,-104.41,64.4,5.82
arcata,1.0,US,1553058432.0,87.0,40.87,-124.08,53.01,3.36
carlsbad,20.0,CZ,1553058429.0,86.0,50.23,12.87,30.2,2.24
new bedford,32.0,US,1553058454.0,50.0,41.64,-70.93,33.8,5.82
lagos,20.0,NG,1553054400.0,88.0,6.46,3.39,82.4,2.24
plouzane,90.0,FR,1553058424.0,93.0,48.38,-4.62,50.0,5.82
bethel,1.0,US,1553054160.0,72.0,60.79,-161.76,21.2,16.11
aklavik,40.0,CA,1553054400.0,74.0,68.22,-135.01,30.2,26.4
hofn,0.0,IS,1553058467.0,100.0,64.25,-15.21,38.33,25.88
leesburg,20.0,US,1553058319.0,70.0,39.12,-77.56,37.4,2.95
stettler,0.0,CA,1553058007.0,50.0,52.32,-112.71,43.0,1.99
caraquet,1.0,CA,1553058346.0,77.0,47.79,-64.94,12.0,2.24
dryden,90.0,CA,1553055420.0,74.0,49.79,-92.84,35.6,11.41
husavik,0.0,CA,1553058344.0,81.0,50.56,-96.99,37.0,8.01
gloversville,75.0,US,1553058459.0,58.0,43.05,-74.34,30.2,2.17
roseburg,75.0,US,1553055336.0,42.0,43.22,-123.34,68.0,6.93
gunjur,5.0,GM,1553054400.0,48.0,13.18,-16.76,66.2,2.24
kailua,90.0,US,1553058190.0,83.0,21.39,-157.74,78.8,6.93
touros,0.0,BR,1553054400.0,100.0,-5.2,-35.46,77.0,4.7
rockland,68.0,US,1553058454.0,50.0,42.13,-70.92,30.99,5.82
winnemucca,1.0,US,1553054160.0,34.0,40.97,-117.74,51.8,9.17
porto novo,75.0,BR,1553054400.0,100.0,-23.68,-45.44,71.6,2.24
odienne,68.0,CI,1553058473.0,85.0,9.51,-7.57,71.9,8.55
saint-francois,0.0,FR,1553058068.0,92.0,46.42,3.91,26.6,4.41
grand-santi,36.0,GF,1553058474.0,90.0,4.27,-54.38,74.15,3.06
hopelchen,5.0,MX,1553053500.0,73.0,19.77,-89.85,75.2,9.17
adrar,0.0,DZ,1553054400.0,24.0,27.87,-0.29,59.0,10.29
boffa,0.0,GN,1553058475.0,92.0,10.18,-14.04,67.85,1.39
muros,0.0,ES,1553058403.0,87.0,42.77,-9.06,50.0,4.7
upernavik,12.0,GL,1553058475.0,100.0,72.79,-56.15,-12.71,6.08
dakar,0.0,SN,1553056200.0,77.0,14.69,-17.45,68.0,16.11
shelburne,1.0,CA,1553058376.0,79.0,44.08,-80.2,33.8,11.45
champerico,5.0,MX,1553053320.0,68.0,16.38,-93.6,71.6,14.99
aquitania,20.0,CO,1553058477.0,94.0,5.52,-72.88,57.68,1.72
burica,,,,,,,,
sorvag,,,,,,,,
steinbach,5.0,CA,1553058435.0,84.0,49.53,-96.69,33.01,11.41
capreol,75.0,CA,1553058066.0,92.0,46.71,-80.92,28.0,13.87
bathsheba,40.0,BB,1553054400.0,73.0,13.22,-59.52,77.0,17.22
eganville,1.0,CA,1553058126.0,85.0,45.54,-77.1,19.4,4.18
bubaque,0.0,GW,1553058480.0,100.0,11.28,-15.83,74.96,10.56
lahaina,20.0,US,1553058456.0,60.0,20.87,-156.68,78.8,7.2
hay river,40.0,CA,1553054400.0,39.0,60.82,-115.79,48.2,5.82
monrovia,75.0,LR,1553054400.0,94.0,6.33,-10.8,75.2,2.73
san bartolome de tirajana,,,,,,,,
fort saint james,0.0,CA,1553058484.0,78.0,54.43,-124.25,27.44,2.17
robertsport,92.0,LR,1553058485.0,98.0,6.75,-11.37,81.89,5.08
ilulissat,0.0,GL,1553053800.0,47.0,69.22,-51.1,-11.21,11.41
grindavik,75.0,IS,1553058097.0,100.0,63.84,-22.43,32.0,36.91
lewisburg,1.0,US,1553058485.0,68.0,40.96,-76.88,32.0,2.62
dikson,56.0,RU,1553058486.0,97.0,73.51,80.55,15.29,9.22
aykhal,12.0,RU,1553058487.0,72.0,65.95,111.51,11.42,3.96
namatanai,8.0,PG,1553058487.0,94.0,-3.66,152.44,85.22,5.41
belushya guba,,,,,,,,
akdepe,40.0,TM,1553056200.0,81.0,42.05,59.39,51.8,6.93
nyurba,36.0,RU,1553058491.0,46.0,63.29,118.35,10.34,3.74
lizzano,75.0,IT,1553058256.0,82.0,40.39,17.45,55.4,11.41
salalah,0.0,OM,1553053800.0,29.0,17.01,54.1,75.2,4.7
along,100.0,IN,1553058492.0,97.0,28.17,94.8,55.7,1.05
baffa,92.0,PK,1553058492.0,98.0,34.44,73.22,48.14,2.51
kavaratti,0.0,IN,1553058492.0,100.0,10.57,72.64,81.17,5.53
amderma,,,,,,,,
qinzhou,0.0,CN,1553058493.0,68.0,21.96,108.62,83.96,17.27
butaritari,88.0,KI,1553058493.0,100.0,3.07,172.79,79.82,11.79
faya,0.0,SA,1553054400.0,36.0,18.39,42.45,64.4,6.93
deder,0.0,ET,1553058494.0,39.0,9.31,41.44,76.67,4.18
tukrah,,,,,,,,
